Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
denomination	1	10	3	1	2	1	38.620	10.482
idle	2	130	3	1	2	1	22.344	6.782
robust	3	30	2	2	0	1	19.202	8.312
called	4	840	4	3	1	1	17.378	4.505
london	5	310	3	2	1	1	17.164	5.528
th	6	4150	7	4	3	2	17.008	3.007
natures	7	60	2	2	0	1	16.373	7.312
the	8	123070	48	33	15	4	16.208	0.895
new	9	1310	4	3	1	1	14.012	3.864
event	10	110	2	2	0	2	13.938	6.438
